                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  2.325,                 3.2134,                   1.63,                 1.0237,                0.27736,                0.14109,                0.12013,                0.04841,                0.18216,                0.11257,                0.07988,                0.02345,                 2.8045,                 3.5482,                 2.2096,                 1.1322,              0.0098951,              0.0098951,              0.0098951
                     56,                 2.3059,                 3.2507,                 1.5901,                 1.0238,                 0.1995,                0.12953,                 0.0982,                0.03848,                0.13578,                0.09194,                0.05836,                0.01772,                 2.9376,                 3.5841,                 2.2373,                 1.1404,              0.0098931,              0.0098931,              0.0098931
                     57,                 2.3149,                 3.1976,                 1.5518,                 1.0314,                0.26583,                0.12339,                0.10549,                0.04045,                0.15716,                0.10254,                0.06867,                0.02057,                 2.9371,                 3.5119,                 2.2562,                 1.1475,              0.0098911,              0.0098911,              0.0098911
                     58,                 2.3236,                 3.2576,                 1.5669,                 1.0223,                0.25113,                0.12105,                   0.11,                0.04743,                0.20132,                0.10254,                0.07581,                0.02569,                 2.8432,                 3.4838,                 2.2396,                  1.143,              0.0098891,              0.0098891,              0.0098891
                     59,                 2.3796,                 3.2332,                 1.6443,                 1.0252,                0.24452,                 0.1249,                0.10864,                0.04421,                0.16682,                0.09329,                0.06738,                0.01988,                 2.9093,                 3.4977,                 2.1681,                 1.1367,              0.0098871,              0.0098871,              0.0098871
                     60,                 2.3294,                 3.2537,                 1.5728,                 1.0221,                0.25649,                0.13801,                0.12193,                0.05202,                0.15832,                0.11103,                 0.0715,                0.02258,                 2.7771,                 3.5027,                 2.1355,                 1.1087,              0.0098852,              0.0098852,              0.0098852
                     61,                 2.2857,                 3.1873,                 1.5447,                 1.0145,                 0.2461,                 0.1303,                0.12113,                0.04953,                 0.1548,                0.09483,                0.06768,                0.02111,                 2.8018,                 3.5582,                 2.1837,                 1.1154,              0.0098832,              0.0098832,              0.0098832
                     62,                 2.2414,                 3.1586,                 1.4863,                 1.0118,                0.28205,                0.12876,                0.12223,                 0.0482,                0.19423,                0.08867,                0.07062,                0.01918,                 2.8029,                 3.5286,                 2.1349,                 1.1203,              0.0098812,              0.0098812,              0.0098812
                     63,                 2.1653,                 3.1709,                 1.4451,                 1.0003,                0.32086,                0.12567,                0.12335,                0.05094,                0.20871,                0.10409,                0.08192,                0.02556,                 2.7438,                 3.4772,                  2.177,                 1.1201,              0.0098792,              0.0098792,              0.0098792
                     64,                  2.234,                 3.1332,                 1.5469,                 1.0086,                0.24542,                0.13416,                0.11773,                0.05035,                0.18902,                0.09715,                0.07653,                0.02173,                 2.7254,                 3.5165,                 2.1757,                 1.1163,              0.0098772,              0.0098772,              0.0098772
                     65,                  2.205,                 3.1029,                 1.4599,                0.98949,                0.25741,                0.14341,                0.12466,                0.05136,                0.18505,                0.10948,                0.08365,                 0.0261,                 2.7246,                 3.5031,                   2.12,                 1.1228,              0.0098753,              0.0098753,              0.0098753
                     66,                 2.2194,                 3.1519,                 1.5058,                0.99898,                0.28025,                0.14109,                 0.1226,                0.04897,                0.19802,                0.09715,                0.07457,                0.02262,                 2.7716,                 3.5085,                 2.1232,                 1.1085,              0.0098733,              0.0098733,              0.0098733
                     67,                  2.224,                 3.1053,                 1.5012,                 0.9831,                0.22666,                0.13647,                0.10985,                0.04382,                0.16861,                 0.0771,                0.05449,                0.01661,                 2.7829,                 3.5972,                 2.2274,                 1.1049,              0.0098713,              0.0098713,              0.0098713
                     68,                 2.2615,                 3.0793,                 1.4795,                 1.0124,                0.25102,                0.14341,                0.11898,                0.04925,                0.18839,                0.11472,                0.07833,                0.02326,                 2.7012,                 3.5799,                 2.1836,                 1.0983,              0.0098693,              0.0098693,              0.0098693
                     69,                 2.1787,                 3.0038,                 1.4387,                0.99176,                0.28547,                0.13801,                0.12525,                0.04897,                0.21935,                0.09021,                0.07706,                 0.0198,                 2.7777,                 3.6523,                 2.1553,                 1.1112,              0.0098673,              0.0098673,              0.0098673
                     70,                 2.2024,                 3.0626,                 1.5002,                0.98196,                0.24528,                0.13724,                0.11764,                0.04633,                0.18433,                0.10948,                0.08073,                0.02321,                 2.8196,                  3.596,                 2.1961,                  1.132,              0.0098654,              0.0098654,              0.0098654
                     71,                 2.2044,                 3.0659,                 1.4842,                0.99286,                0.27531,                0.13647,                0.11937,                0.04558,                0.18509,                0.10254,                0.07073,                0.02052,                  2.854,                 3.5638,                 2.2716,                 1.1279,              0.0098634,              0.0098634,              0.0098634
                     72,                 2.2859,                 3.0329,                 1.5388,                0.98116,                0.28915,                0.14341,                0.12299,                0.05119,                0.21142,                0.10486,                0.07739,                0.02537,                 2.7572,                 3.5019,                 2.2046,                  1.099,              0.0098614,              0.0098614,              0.0098614
                     73,                  2.247,                 3.0744,                 1.4551,                0.99603,                0.29978,                0.13338,                0.11259,                0.04609,                0.20438,                0.10023,                0.07762,                0.02427,                 2.8136,                 3.5623,                 2.2226,                 1.1084,              0.0098594,              0.0098594,              0.0098594
                     74,                 2.2788,                 3.1728,                 1.5026,                0.97961,                0.27416,                0.12876,                0.10628,                 0.0419,                0.18984,                0.09946,                0.07181,                0.02029,                  2.842,                 3.6606,                 2.2092,                 1.1137,              0.0098574,              0.0098574,              0.0098574
                     75,                 2.1551,                 3.0971,                 1.4254,                0.98696,                 0.2597,                0.13801,                0.11332,                0.04552,                0.18278,                0.10409,                0.07008,                0.01866,                 2.8541,                 3.6346,                 2.1881,                 1.1174,              0.0098555,              0.0098555,              0.0098555
                     76,                 2.1954,                 3.1633,                 1.4157,                 0.9853,                0.26125,                0.14264,                0.11483,                0.04253,                0.18203,                0.11565,                0.06753,                0.02207,                 2.8958,                 3.6197,                 2.1747,                 1.1213,              0.0098535,              0.0098535,              0.0098535
                     77,                 2.1861,                 3.0733,                 1.4253,                0.97248,                 0.2975,                0.13878,                0.12312,                0.04725,                0.19983,                0.10486,                 0.0792,                0.02174,                 2.8702,                 3.5867,                 2.1459,                 1.1187,              0.0098515,              0.0098515,              0.0098515
                     78,                  2.093,                 2.9929,                 1.3348,                0.98393,                0.39039,                0.12028,                0.12827,                0.04929,                0.17717,                0.10332,                0.07704,                0.02197,                 2.8239,                 3.5278,                 2.1319,                 1.1068,              0.0098495,              0.0098495,              0.0098495
                     79,                 2.1125,                 2.9611,                 1.4004,                 1.0021,                0.35325,                0.14108,                 0.1396,                0.05898,                0.23427,                0.10794,                 0.0932,                0.02723,                 2.6958,                 3.4543,                 2.1293,                 1.0987,              0.0098475,              0.0098475,              0.0098475
                     80,                 2.1096,                 2.9705,                 1.3488,                0.97252,                0.27969,                0.14418,                0.12616,                0.05148,                0.20045,                0.10794,                0.08552,                0.02401,                 2.7335,                 3.4169,                   2.17,                  1.102,              0.0098456,              0.0098456,              0.0098456
                     81,                  2.128,                 3.0607,                 1.3813,                 0.9788,                   0.25,                0.14418,                0.12467,                0.05173,                0.18722,                0.12028,                0.08871,                0.02664,                 2.7216,                 3.4259,                   2.16,                 1.1006,              0.0098436,              0.0098436,              0.0098436
                     82,                 2.1414,                 3.0484,                 1.3935,                  0.983,                0.27948,                0.13647,                0.12675,                0.05343,                0.19504,                0.11565,                0.08141,                0.02363,                 2.6833,                 3.4266,                 2.1479,                 1.0965,              0.0098416,              0.0098416,              0.0098416
                     83,                 2.0865,                 3.0208,                 1.3494,                0.97644,                0.29001,                0.14495,                0.13079,                 0.0557,                 0.2046,                0.12259,                0.08774,                0.02517,                 2.6435,                 3.4263,                 2.1252,                 1.0993,              0.0098396,              0.0098396,              0.0098396
                     84,                 2.1387,                 2.8981,                 1.3203,                 0.9738,                0.28021,                0.14264,                0.12822,                0.05456,                0.21783,                0.11642,                0.08355,                0.02569,                 2.6586,                 3.4676,                 2.1591,                 1.1054,              0.0098376,              0.0098376,              0.0098376
